Year,Destination_Country,Region,Column_Name,Value,Data_Type,Source_Name,Source_URL,Notes,Value_Original
2000,USA,North America,Total_Indian_Migrants,1005000.0,real,UN DESA International Migrant Stock,https://www.un.org/development/desa/pd/content/international-migrant-stock,Approx 1M Indian-born in USA ca. 2000 (Gibson & Jung 2006 / MPI),"1,005,000"
2000,USA,North America,Permanent_Migrants,,real,,,No publicly sourced figure found for this cell,NOT AVAILABLE
2000,USA,North America,Temporary_Workers,,real,,,No publicly sourced figure found for this cell,NOT AVAILABLE
2000,USA,North America,Students,,real,,,No publicly sourced figure found for this cell,NOT AVAILABLE
2000,USA,North America,Remittance_USD_Billion,12.88,real,World Bank World Development Indicators,https://data.worldbank.org/indicator/BX.TRF.PWKR.CD.DT?locations=IN,"Total India inflows, NOT disaggregated by source country",12.88
2000,USA,North America,Unemployment_India,7.62,real,World Bank / ILOSTAT (modeled ILO estimate),https://data.worldbank.org/indicator/SL.UEM.TOTL.ZS?locations=IN,India national unemployment rate,7.62
2000,USA,North America,GDP_India,468400000000.0,real,World Bank World Development Indicators,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD?locations=IN,India GDP (current USD),$468.40B
2000,Canada,North America,Total_Indian_Migrants,217000.0,real,UN DESA International Migrant Stock,https://www.un.org/development/desa/pd/content/international-migrant-stock,Estimated Indian-born migrant stock in Canada,"217,000"
2000,Canada,North America,Permanent_Migrants,26122.0,real,IRCC Facts & Figures / StatCan,https://open.canada.ca/data/en/dataset/2fbb56bd-eae7-4582-af7d-a197d185fc93,,"26,122"
2000,Canada,North America,Temporary_Workers,,real,,,No publicly sourced figure found for this cell,NOT AVAILABLE
2000,Canada,North America,Students,,real,,,No publicly sourced figure found for this cell,NOT AVAILABLE
2000,Canada,North America,Remittance_USD_Billion,12.88,real,World Bank World Development Indicators,https://data.worldbank.org/indicator/BX.TRF.PWKR.CD.DT?locations=IN,"Total India inflows, NOT disaggregated by source country",12.88
2000,Canada,North America,Unemployment_India,7.62,real,World Bank / ILOSTAT (modeled ILO estimate),https://data.worldbank.org/indicator/SL.UEM.TOTL.ZS?locations=IN,India national unemployment rate,7.62
2000,Canada,North America,GDP_India,468400000000.0,real,World Bank World Development Indicators,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD?locations=IN,India GDP (current USD),$468.40B
2000,UK,Europe,Total_Indian_Migrants,570000.0,real,UN DESA International Migrant Stock,https://www.un.org/development/desa/pd/content/international-migrant-stock,Indian-born in UK,"570,000"
2000,UK,Europe,Permanent_Migrants,,real,,,No publicly sourced figure found for this cell,NOT AVAILABLE
2000,UK,Europe,Temporary_Workers,,real,,,No publicly sourced figure found for this cell,NOT AVAILABLE
2000,UK,Europe,Students,,real,,,No publicly sourced figure found for this cell,NOT AVAILABLE
2000,UK,Europe,Remittance_USD_Billion,12.88,real,World Bank World Development Indicators,https://data.worldbank.org/indicator/BX.TRF.PWKR.CD.DT?locations=IN,"Total India inflows, NOT disaggregated by source country",12.88
2000,UK,Europe,Unemployment_India,7.62,real,World Bank / ILOSTAT (modeled ILO estimate),https://data.worldbank.org/indicator/SL.UEM.TOTL.ZS?locations=IN,India national unemployment rate,7.62
2000,UK,Europe,GDP_India,468400000000.0,real,World Bank World Development Indicators,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD?locations=IN,India GDP (current USD),$468.40B
2000,Australia,Oceania,Total_Indian_Migrants,173000.0,real,UN DESA International Migrant Stock,https://www.un.org/development/desa/pd/content/international-migrant-stock,Indian-born in Australia,"173,000"
2000,Australia,Oceania,Permanent_Migrants,,real,,,No publicly sourced figure found for this cell,NOT AVAILABLE
2000,Australia,Oceania,Temporary_Workers,,real,,,No publicly sourced figure found for this cell,NOT AVAILABLE
2000,Australia,Oceania,Students,,real,,,No publicly sourced figure found for this cell,NOT AVAILABLE
2000,Australia,Oceania,Remittance_USD_Billion,12.88,real,World Bank World Development Indicators,https://data.worldbank.org/indicator/BX.TRF.PWKR.CD.DT?locations=IN,"Total India inflows, NOT disaggregated by source country",12.88
2000,Australia,Oceania,Unemployment_India,7.62,real,World Bank / ILOSTAT (modeled ILO estimate),https://data.worldbank.org/indicator/SL.UEM.TOTL.ZS?locations=IN,India national unemployment rate,7.62
2000,Australia,Oceania,GDP_India,468400000000.0,real,World Bank World Development Indicators,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD?locations=IN,India GDP (current USD),$468.40B
2000,UAE,Middle East,Total_Indian_Migrants,950000.0,real,UN DESA International Migrant Stock,https://www.un.org/development/desa/pd/content/international-migrant-stock,Indian-born in UAE,"950,000"
2000,UAE,Middle East,Permanent_Migrants,,real,,,No publicly sourced figure found for this cell,NOT AVAILABLE
2000,UAE,Middle East,Temporary_Workers,,real,,,No publicly sourced figure found for this cell,NOT AVAILABLE
2000,UAE,Middle East,Students,,real,,,No publicly sourced figure found for this cell,NOT AVAILABLE
2000,UAE,Middle East,Remittance_USD_Billion,12.88,real,World Bank World Development Indicators,https://data.worldbank.org/indicator/BX.TRF.PWKR.CD.DT?locations=IN,"Total India inflows, NOT disaggregated by source country",12.88
2000,UAE,Middle East,Unemployment_India,7.62,real,World Bank / ILOSTAT (modeled ILO estimate),https://data.worldbank.org/indicator/SL.UEM.TOTL.ZS?locations=IN,India national unemployment rate,7.62
2000,UAE,Middle East,GDP_India,468400000000.0,real,World Bank World Development Indicators,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD?locations=IN,India GDP (current USD),$468.40B
2000,Germany,Europe,Total_Indian_Migrants,,real,,,No publicly sourced figure found for this cell,NOT AVAILABLE
2000,Germany,Europe,Permanent_Migrants,,real,,,No publicly sourced figure found for this cell,NOT AVAILABLE
2000,Germany,Europe,Temporary_Workers,,real,,,No publicly sourced figure found for this cell,NOT AVAILABLE
2000,Germany,Europe,Students,,real,,,No publicly sourced figure found for this cell,NOT AVAILABLE
2000,Germany,Europe,Remittance_USD_Billion,12.88,real,World Bank World Development Indicators,https://data.worldbank.org/indicator/BX.TRF.PWKR.CD.DT?locations=IN,"Total India inflows, NOT disaggregated by source country",12.88
2000,Germany,Europe,Unemployment_India,7.62,real,World Bank / ILOSTAT (modeled ILO estimate),https://data.worldbank.org/indicator/SL.UEM.TOTL.ZS?locations=IN,India national unemployment rate,7.62
2000,Germany,Europe,GDP_India,468400000000.0,real,World Bank World Development Indicators,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD?locations=IN,India GDP (current USD),$468.40B
2000,Singapore,Asia,Total_Indian_Migrants,85000.0,real,UN DESA,https://www.un.org/development/desa/pd/content/international-migrant-stock,Indian-born,"85,000"
2000,Singapore,Asia,Permanent_Migrants,,real,,,No publicly sourced figure found for this cell,NOT AVAILABLE
2000,Singapore,Asia,Temporary_Workers,,real,,,No publicly sourced figure found for this cell,NOT AVAILABLE
2000,Singapore,Asia,Students,,real,,,No publicly sourced figure found for this cell,NOT AVAILABLE
2000,Singapore,Asia,Remittance_USD_Billion,12.88,real,World Bank World Development Indicators,https://data.worldbank.org/indicator/BX.TRF.PWKR.CD.DT?locations=IN,"Total India inflows, NOT disaggregated by source country",12.88
2000,Singapore,Asia,Unemployment_India,7.62,real,World Bank / ILOSTAT (modeled ILO estimate),https://data.worldbank.org/indicator/SL.UEM.TOTL.ZS?locations=IN,India national unemployment rate,7.62
2000,Singapore,Asia,GDP_India,468400000000.0,real,World Bank World Development Indicators,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD?locations=IN,India GDP (current USD),$468.40B
2001,USA,North America,Total_Indian_Migrants,,real,,,No publicly sourced figure found for this cell,NOT AVAILABLE
2001,USA,North America,Permanent_Migrants,,real,,,No publicly sourced figure found for this cell,NOT AVAILABLE
2001,USA,North America,Temporary_Workers,,real,,,No publicly sourced figure found for this cell,NOT AVAILABLE
2001,USA,North America,Students,,real,,,No publicly sourced figure found for this cell,NOT AVAILABLE
2001,USA,North America,Remittance_USD_Billion,14.27,real,World Bank World Development Indicators,https://data.worldbank.org/indicator/BX.TRF.PWKR.CD.DT?locations=IN,"Total India inflows, NOT disaggregated by source country",14.27
2001,USA,North America,Unemployment_India,7.61,real,World Bank / ILOSTAT (modeled ILO estimate),https://data.worldbank.org/indicator/SL.UEM.TOTL.ZS?locations=IN,India national unemployment rate,7.61
2001,USA,North America,GDP_India,485440000000.0,real,World Bank World Development Indicators,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD?locations=IN,India GDP (current USD),$485.44B
2001,Canada,North America,Total_Indian_Migrants,,real,,,No publicly sourced figure found for this cell,NOT AVAILABLE
2001,Canada,North America,Permanent_Migrants,,real,,,No publicly sourced figure found for this cell,NOT AVAILABLE
2001,Canada,North America,Temporary_Workers,,real,,,No publicly sourced figure found for this cell,NOT AVAILABLE
2001,Canada,North America,Students,,real,,,No publicly sourced figure found for this cell,NOT AVAILABLE
2001,Canada,North America,Remittance_USD_Billion,14.27,real,World Bank World Development Indicators,https://data.worldbank.org/indicator/BX.TRF.PWKR.CD.DT?locations=IN,"Total India inflows, NOT disaggregated by source country",14.27
2001,Canada,North America,Unemployment_India,7.61,real,World Bank / ILOSTAT (modeled ILO estimate),https://data.worldbank.org/indicator/SL.UEM.TOTL.ZS?locations=IN,India national unemployment rate,7.61
2001,Canada,North America,GDP_India,485440000000.0,real,World Bank World Development Indicators,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD?locations=IN,India GDP (current USD),$485.44B
2001,UK,Europe,Total_Indian_Migrants,,real,,,No publicly sourced figure found for this cell,NOT AVAILABLE
2001,UK,Europe,Permanent_Migrants,,real,,,No publicly sourced figure found for this cell,NOT AVAILABLE
2001,UK,Europe,Temporary_Workers,,real,,,No publicly sourced figure found for this cell,NOT AVAILABLE
2001,UK,Europe,Students,,real,,,No publicly sourced figure found for this cell,NOT AVAILABLE
2001,UK,Europe,Remittance_USD_Billion,14.27,real,World Bank World Development Indicators,https://data.worldbank.org/indicator/BX.TRF.PWKR.CD.DT?locations=IN,"Total India inflows, NOT disaggregated by source country",14.27
2001,UK,Europe,Unemployment_India,7.61,real,World Bank / ILOSTAT (modeled ILO estimate),https://data.worldbank.org/indicator/SL.UEM.TOTL.ZS?locations=IN,India national unemployment rate,7.61
2001,UK,Europe,GDP_India,485440000000.0,real,World Bank World Development Indicators,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD?locations=IN,India GDP (current USD),$485.44B
2001,Australia,Oceania,Total_Indian_Migrants,,real,,,No publicly sourced figure found for this cell,NOT AVAILABLE
2001,Australia,Oceania,Permanent_Migrants,,real,,,No publicly sourced figure found for this cell,NOT AVAILABLE
2001,Australia,Oceania,Temporary_Workers,,real,,,No publicly sourced figure found for this cell,NOT AVAILABLE
2001,Australia,Oceania,Students,,real,,,No publicly sourced figure found for this cell,NOT AVAILABLE
2001,Australia,Oceania,Remittance_USD_Billion,14.27,real,World Bank World Development Indicators,https://data.worldbank.org/indicator/BX.TRF.PWKR.CD.DT?locations=IN,"Total India inflows, NOT disaggregated by source country",14.27
2001,Australia,Oceania,Unemployment_India,7.61,real,World Bank / ILOSTAT (modeled ILO estimate),https://data.worldbank.org/indicator/SL.UEM.TOTL.ZS?locations=IN,India national unemployment rate,7.61
2001,Australia,Oceania,GDP_India,485440000000.0,real,World Bank World Development Indicators,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD?locations=IN,India GDP (current USD),$485.44B
2001,UAE,Middle East,Total_Indian_Migrants,,real,,,No publicly sourced figure found for this cell,NOT AVAILABLE
2001,UAE,Middle East,Permanent_Migrants,,real,,,No publicly sourced figure found for this cell,NOT AVAILABLE
2001,UAE,Middle East,Temporary_Workers,,real,,,No publicly sourced figure found for this cell,NOT AVAILABLE
2001,UAE,Middle East,Students,,real,,,No publicly sourced figure found for this cell,NOT AVAILABLE
2001,UAE,Middle East,Remittance_USD_Billion,14.27,real,World Bank World Development Indicators,https://data.worldbank.org/indicator/BX.TRF.PWKR.CD.DT?locations=IN,"Total India inflows, NOT disaggregated by source country",14.27
2001,UAE,Middle East,Unemployment_India,7.61,real,World Bank / ILOSTAT (modeled ILO estimate),https://data.worldbank.org/indicator/SL.UEM.TOTL.ZS?locations=IN,India national unemployment rate,7.61
